Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25054961,DotCom Secrets: The Underground Playbook for Growing Your Company Online,Russell Brunson,"Brunson, Russell",,"=""1630474789""","=""9781630474782""",4,4.23,Morgan James Publishing,Kindle Edition,275,2015,2011,2026/02/01,2026/01/17,,,read,"The book has a bunch of images in each chapter that make it memorable. The final chapter mentions that even after finishing the book, the discussed ideas continue to roam in your mind rent-free. I’ll admit there’s truth to that. One can draw the 'secrets' from this book, almost unconsciously.<br/><br/>What I don’t agree with is the author’s claim that this book is forever relevant. The book repeatedly propagates the idea that internet marketing secrets will remain the same regardless of technological changes or circumstances. I cannot take that seriously when, in fact, some of the links inside the book appear dead. Not to mention, I cringed at the sales strategies in some parts.<br/><br/>Nevertheless, I still find that this is the best book for internet marketing and sales without always being 'salesy.' If you dig deeper, there is some form of wisdom in each and every line. Some of my favorite parts are about the three types of traffic (cold, warm, and hot) and how/when to think about each one. It confirmed my belief that most of the engagement (at least early-on in your business) and online traffic you get is pointless.",,,1,0
815231,"Mining the Sky: Untold Riches From The Asteroids, Comets, And Planets (Helix Book)",John S. Lewis,"Lewis, John S.",,"=""0201328194""","=""9780201328196""",0,4.12,Basic Books,Paperback,274,1997,1996,,2026/02/16,to-read,to-read (#24),to-read,,,,0,0
58612786,$100M Offers: How To Make Offers So Good People Feel Stupid Saying No,Alex Hormozi,"Hormozi, Alex",,"=""1737475707""","=""9781737475705""",3,4.55,,Kindle Edition,155,2021,2021,2026/01/06,2026/01/01,,,read,,,,1,0
55959466,Black AF History: The Un-Whitewashed Story of America,Michael Harriot,"Harriot, Michael",,"=""0358439167""","=""9780358439165""",0,4.60,Dey Street Books,Hardcover,432,2023,2023,,2026/01/06,to-read,to-read (#23),to-read,,,,0,0
223736214,Breakneck: China's Quest to Engineer the Future,Dan  Wang,"Wang, Dan",,"=""1324106034""","=""9781324106036""",0,4.15,W. W. Norton & Company,Hardcover,288,2025,2025,,2026/01/05,to-read,to-read (#22),to-read,,,,0,0
18856707,Unholy Grails - A New Road to Wealth,Nick Radge,"Radge, Nick",,"=""0980871220""","=""9780980871227""",0,4.30,Radge Publishing,Kindle Edition,224,2012,2012,,2025/12/30,to-read,to-read (#21),to-read,,,,0,0
50722115,Is This Anything?,Jerry Seinfeld,"Seinfeld, Jerry",,"=""1982112697""","=""9781982112691""",0,3.72,Simon & Schuster,Hardcover,480,2020,2020,,2025/12/30,to-read,to-read (#20),to-read,,,,0,0
56447987,The Millionaire Fast Lane: Crack the Code to Wealth and Live Rich for a Lifetime,M.J. DeMarco,"DeMarco, M.J.",,"=""""","=""""",4,4.30,Viperion Publishing Corporation,Paperback,336,2018,2010,2025/12/29,2025/12/21,,,read,"The Millionaire Fastlane promotes itself as a mathematical guideline to make anyone rich, and it does the job reasonably well. I did make some drastic lifestyle changes in the process of reading this. Namely, pausing my ongoing Mutual Funds SIP and starting to market myself more on social media (X). And I think I'll continue to make some weird changes that may be influenced by this book in some way or the other. However, I'll suggest you to take the principles from this book with a pinch of salt and pepper because financial success is different for everyone.<br/><br/>This is also a long book, mostly interesting and relevant. The most important ideas I have found are about compounding, leverage, scale, time/freedom. All of which I have read or heard at least once elsewhere; here, everything is contexualized in a succinct way. MJ also has amazing storytelling, without much fluff or unecessary repetition. <br/><br/>MJ attempts to drill the concept of freedom in every possible way. About this... I am not sure how I feel about. The desire for (financial) freedom can be like a double-edged sword. Specifically, as the world seems to heading towards more passivity and longevity, the appeal of high-earners with a relaxed life may not be so valuable in the years to come. I may still need some more knowledge/experience to really put it into words but it's probably one thing that stops me from rating this a solid-5.",,,1,0
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,"=""0684832720""","=""9780684832722""",4,4.18,Touchstone,Paperback,448,1999,1997,2025/08/24,2024/07/04,technology,technology (#1),read,"The Sovereign Individual and Thinking, Fast and Slow are two of the longest books I’ve read this year. The common thing between these two is the outrageous amount of repetition of same ideas. Over and over again until you get tired. This brain feed may absolutely be the norm about 10-15 years ago when information and internet were expensive, but it’s a good experience nevertheless to manifest the ideas in this book repeatedly. It kind of gives you different ways of thinking about the thumb rule of politics: imposition of violence. <br/><br/>This is the best book I’ve read till date that combines politics, economics, and technology. I never thought that this is a readable combination. But here the economics and especially technology aspects made the politics (which I was probably never keen about until now) even more interesting.<br/><br/>The prominent idea I took away is that The Information Age shifts power (and violence) away from large nation-states and toward individuals and smaller, more agile entities. This idea was drummed by the author in different frequencies. Although I don’t agree with all the ideas, especially as this book is a little outdated, I appreciated in its entirety as I reached its end.",,,1,0
61362987,"Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition",Peter D. Kaufman,"Kaufman, Peter D.",,"=""""","=""""",0,4.33,,Kindle Edition,501,2022,,,2025/12/09,currently-reading,currently-reading (#2),currently-reading,,,,1,0
